region_rus;region;region_rus_from_map;region_EN_from_map;inventive_rate2018;research_expend_region2017;state_subsidy2018;state_subsidy2018_2;grant_fonds;other_types_financing;data_jan2019;phd_students;female;full_time;selffunded;n_uni_phd_prog;n_uni_phd_foreign;n_kandidat_defence2018;n_kandidat_defence_female2018;n_uni_diss_council;n_phdsupervisors2018;phd_superv_professor;n_phd_supervisor_female;n_phd_supervisor_female_prof;n_uni_elibrary;n_readers_elibrary;n_researchers2018;n_unis20172018;RNF_grants;n_researchers_per_grant;n_uni_grants;n_years_grants;n_categories_grants;rnf2014;rnf2015;rnf2016;rnf2017;rnf2018;rnf2019;n_org;n_grants_1row;n_grants_2row;n_grants_3row;n_grants_4row;n_grants_5row;n_grants_6row;n_grants_7row;megagrants_all;n_people_presidentgrant;ECI;randd_subrank1;randd_subrank2;research_outputWoS201517;patents_research_outputWoS201517;call_patents2015;density_foreign_stud;share_expendscience_region;n_projects;region_id;sum_14_19;sh_2014;sh_2015;sh_2016;sh_2017;sh_2018;sh_2019;first_period;second_period;change2015;change2016;change2017;change2018;change2019
Орловская область;Oryol region;Орловская область;Orlovskaya oblastʹ;0.85;0.46;63773.2;79991.1;23407.8;418.2;390;486;231;378;148;7;1;66;32;1;216;106;107;46;38;1012;147;4;9;16.33;3;0;6;1;0;1;2;3;2;0;1;0;0;0;0;0;1;1;25;0.4641;0.45;0.3597;0.48;0.351;0.389;0.359;0;0.421;41;9;0.00089;0;0.00112;0.00122;0.00207;0.00095;0.00067;0.00142;-0.00089;0.00112;1E-04;0.00085;-0.00112
Пензенская область;Penza region;Пензенская область;Penzenskaya oblastʹ;1.08;1.5;2800;2220.8;27427.7;236757.8;5397;459;153;318;230;4;3;39;10;2;198;106;58;25;37;1160;376;4;11;34.18;2;0;7;3;2;0;4;1;1;0;0;0;0;0;0;0;0;0;42;0.7078;0.37;0.3539;0.241;0.345;0.421;0.396;0;0.398;42;11;0.00268;0.00478;0;0.00244;0.00069;0.00048;0.00249;0.0012;0.00211;-0.00478;0.00244;-0.00175;-0.00021
Пермский край;Perm territory;Пермский край;Permskiy kray;1.08;1.2;126569.7;236901.7;310294.9;276370;9612;1067;475;784;347;11;5;149;56;4;458;241;157;83;144;3772;759;10;74;10.26;8;0;35;9;7;6;14;23;15;1;0;0;1;1;0;0;0;2;97;0.4188;0.45;0.4198;0.365;0.481;0.405;0.095;0.057;0.536;43;74;0.00804;0.01675;0.00673;0.00855;0.01589;0.00716;0.0105;0.01053;0.00871;-0.01002;0.00182;0.00735;-0.00874
Приморский край;Primorsky territory;Приморский край;Primorskiy kray;0.83;0.89;1400738.8;62264.6;137045;71001.3;5220;896;449;793;156;22;4;79;34;1;527;225;215;82;97;5045;1596;8;105;15.2;14;0;59;25;5;9;21;21;24;2;1;0;0;1;0;0;1;3;179;-0.1925;0.5;0.4205;0.646;0.376;0.38;0.321;0;0.555;44;105;0.02232;0.01196;0.01009;0.01282;0.01451;0.01146;0.01479;0.01293;-0.01036;-0.00187;0.00273;0.00169;-0.00306
Псковская область;Pskov region;Псковская область;Pskovskaya oblastʹ;0.67;0.29;23180.5;1924.1;5945;2860;191;116;51;69;62;3;1;0;0;0;51;25;23;10;15;496;51;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.571;0.37;0.3321;0.336;0.32;0.403;0.548;0;0.186;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Адыгея (Адыгея);Republic of Adygeya;Республика Адыгея;Respublika Adygeya;0.26;0.24;0;6670;3250;720;252;136;64;58;73;2;2;47;30;1;79;50;43;22;7;188;65;2;1;65;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;-0.0195;0.36;0.2582;0.28;0.144;0;0.893;0.208;0.312;46;65;0;0.00239;0;0;0;0;8E-04;0;0.00239;-0.00239;0;0;0
Республика Алтай;Republic of Altai;Республика Алтай;Respublika Altay;0.05;0.21;14309.5;4879.9;1524;0;66;38;28;11;26;1;0;0;0;0;20;4;13;2;9;133;33;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;-0.094;0.28;0.2727;0.491;0.226;0;0.246;0.226;0;47;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Башкортостан;Republic of Bashkortostan;Республика Башкортостан;Respublika Bashkortostan;1.35;0.63;374431.6;50996.1;210109.4;306500.9;9513;1543;752;915;889;15;8;168;81;4;715;420;247;148;136;4750;1106;10;78;14.18;12;0;36;7;6;10;14;16;25;2;1;1;0;0;0;0;0;2;109;0.3638;0.54;0.4864;0.455;0.519;0.479;0.18;0.239;0.443;48;78;0.00625;0.01435;0.01121;0.00855;0.01106;0.01193;0.0106;0.01051;0.0081;-0.00314;-0.00266;0.00251;0.00088
Республика Бурятия;Republic of Buryatia;Республика Бурятия;Respublika Buryatiya;0.33;2.75;522439.6;38800;40429.8;9639;848;460;289;304;168;9;3;40;22;1;235;98;121;36;28;1176;469;7;12;39.08;5;0;9;5;1;0;3;1;2;1;0;0;0;0;1;0;0;1;22;0.676;0.43;0.3881;0.551;0.279;0;0.093;0.013;0.38;49;12;0.00446;0.00239;0;0.00183;0.00069;0.00095;0.00229;0.00116;-0.00207;-0.00239;0.00183;-0.00114;0.00026
Республика Дагестан;Republic of Dagestan;Республика Дагестан;Respublika Dagestan;0.35;0.15;375899.8;5331.7;26936.8;125;1343;631;382;232;394;14;3;127;80;1;276;144;90;35;50;505;686;14;2;343;2;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;31;0.4539;0.36;0.3415;0.367;0.427;0.241;0.253;0.046;0.196;50;2;0;0.00239;0;0;0.00069;0;8E-04;0.00023;0.00239;-0.00239;0;0.00069;-0.00069
Республика Ингушетия*;Republic of Ingushetia;Республика Ингушетия;Respublika Ingushetiya;0.04;0.11;0;0;0;0;86;51;39;51;6;1;0;0;0;0;15;11;10;7;4;98;78;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0753;0.18;0.2169;0.15;0.141;0;0.019;0;0.202;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Калмыкия;Republic of Kalmykia;Республика Калмыкия;Respublika Kalmykiya;1.21;0.1;53424.5;0;0;0;142;176;112;52;145;2;1;0;0;0;42;33;27;19;6;196;53;1;4;13.25;2;0;3;1;1;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0.068;0.37;0.3804;0.469;0.299;0;0.383;0.293;0.351;52;4;0.00089;0.00239;0;0;0.00069;0.00048;0.0011;0.00039;0.0015;-0.00239;0;0.00069;-0.00021
Республика Карелия;Republic of Karelia;Республика Карелия;Respublika Kareliya;0.44;0.37;8568.2;172419.2;73164;13699.6;823;122;76;106;19;3;2;2;1;1;85;28;41;10;20;983;347;2;18;19.28;5;0;10;3;2;1;7;2;3;1;0;1;0;0;0;0;0;1;25;0.0897;0.43;0.409;0.619;0.294;0;0.169;0.004;0.532;53;18;0.00268;0.00478;0.00112;0.00427;0.00138;0.00143;0.00286;0.00236;0.00211;-0.00366;0.00315;-0.00289;5E-05
Республика Коми;Republic of Komi;Республика Коми;Respublika Komi;0.6;0.41;3543.9;5405.2;30380.8;29871.4;1455;183;96;106;106;3;1;6;1;1;117;34;45;9;28;971;509;3;8;63.63;4;0;8;0;0;1;2;2;3;0;0;0;0;0;0;0;0;0;34;0.2091;0.49;0.4632;0.451;0.267;0.63;0.179;0.014;0.284;54;8;0;0;0.00112;0.00122;0.00138;0.00143;0.00037;0.00135;0;0.00112;1E-04;0.00016;5E-05
Республика Крым;Republic of Crimea disputed territory;Республика Крым;Respublika Krym;0.38;0.41;517231.5;5026.6;187574.7;0;2385;506;278;389;140;6;1;57;39;1;247;131;113;53;28;0;391;7;12;32.58;3;0;9;1;0;0;0;4;7;1;0;0;0;0;0;0;2;2;2;0;0.39;0.2928;0.484;0.277;0;0.368;0.441;0.281;55;12;0.00089;0;0;0;0.00276;0.00334;3E-04;0.00204;-0.00089;0;0;0.00276;0.00058
Республика Марий Эл;Republic of Marij El;Республика Марий Эл;Respublika Mariy El;1.56;0.12;13945.4;27069.2;13819.2;0;360;236;111;144;138;3;2;18;7;1;95;53;32;18;27;654;54;3;6;9;2;0;4;0;1;1;0;3;1;0;0;0;0;0;0;0;0;0;13;0.3407;0.51;0.46;1;0.526;0;0.593;0.083;0.374;56;6;0;0.00239;0.00112;0;0.00207;0.00048;0.00117;0.00085;0.00239;-0.00127;-0.00112;0.00207;-0.0016
Республика Мордовия;Republic of Mordovia;Республика Мордовия;Respublika Mordoviya;0.88;0.39;0;49122.6;63509.9;23525;483;566;253;453;122;3;2;37;18;1;243;130;123;59;33;941;78;3;7;11.14;1;0;5;0;2;0;1;3;1;0;0;0;0;0;0;0;0;0;35;0.3235;0.51;0.3413;0.522;0.322;0;0.353;0.434;0.48;57;7;0;0.00478;0;0.00061;0.00207;0.00048;0.00159;0.00105;0.00478;-0.00478;0.00061;0.00146;-0.0016
Республика Саха (Якутия);Republic of Sakha (Yakutia);Республика Саха;Respublika Sakha;0.72;0.49;2188557.2;47687.9;75569.8;17861.1;2146;457;265;348;147;12;1;15;4;0;228;85;112;36;42;940;700;35;15;46.67;7;0;13;3;3;0;3;2;4;1;0;0;0;0;1;0;0;1;16;0.0155;0.44;0.3476;0.555;0.315;0.364;0.077;0.194;0.375;58;15;0.00268;0.00718;0;0.00183;0.00138;0.00191;0.00329;0.00171;0.0045;-0.00718;0.00183;-0.00045;0.00053
Республика Северная Осетия-Алания;Republic of North Ossetia - Alania;Республика Северная Осетия-Алания;Respublika Severnaya Osetiya-Alaniya;1.16;0.27;1326.1;0;4771;1165;484;402;212;250;175;7;1;27;17;1;174;103;69;25;23;381;170;6;2;85;2;0;2;0;0;0;0;0;2;1;0;0;0;0;0;0;1;1;9;-0.0088;0.48;0.34;0.513;0.445;0;0.167;0.191;0.231;59;2;0;0;0;0;0;0.00095;0;0.00032;0;0;0;0;0.00095
Республика Татарстан (Татарстан);Republic of Tatarstan;Республика Татарстан;Respublika Tatarstan;1.86;0.77;87387.9;708466.2;905645.2;1004117.9;12503;3035;1366;2427;856;36;16;338;197;6;1248;586;426;170;221;5746;1808;24;227;7.96;13;0;88;23;16;21;46;46;75;3;1;1;0;2;2;2;1;9;221;0.9371;0.6;0.475;0.597;0.531;0.499;0.38;0.365;0.634;60;227;0.02054;0.03828;0.02354;0.02808;0.03179;0.0358;0.02745;0.03189;0.01774;-0.01473;0.00454;0.00371;0.00401
Республика Тыва;Republic of Tuva;Республика Тыва;Respublika Tyva;0.06;0.43;185902.4;0;6838.5;3049.2;229;43;35;10;33;1;0;4;2;0;23;6;14;2;13;110;76;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0578;0.27;0.2695;0.337;0;0;0.077;0.741;0.253;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика Хакасия;Republic of Khakasia;Республика Хакасия;Respublika Khakasiya;0.24;0.44;57933.8;600;10478;6756.9;109;77;52;12;71;1;0;1;1;0;37;18;23;11;8;595;57;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;-0.0052;0.36;0.317;0.354;0.205;0;0.024;0.126;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ростовская область;Rostov region;Ростовская область;Rostovskaya oblastʹ;1.46;0.97;209834.2;215387.9;263445.3;1031917.8;12792;2606;1130;2010;788;21;11;227;93;6;1039;535;335;135;179;5420;1325;12;103;12.86;9;0;59;15;9;13;17;21;28;2;0;0;0;1;1;1;2;5;141;0.7408;0.52;0.4161;0.443;0.429;0.388;0.281;0;0.479;63;103;0.01339;0.02153;0.01457;0.01038;0.01451;0.01337;0.0165;0.01275;0.00814;-0.00696;-0.0042;0.00413;-0.00115
Рязанская область;Ryazan region;Рязанская область;Ryazanskaya oblastʹ;1.61;0.44;99235.3;35434.8;27209.4;0;2411;374;158;236;161;5;4;63;27;3;165;76;42;20;50;885;179;6;12;14.92;3;0;8;2;1;0;4;2;3;0;0;0;0;0;0;0;0;0;30;0.6508;0.43;0.349;0.411;0.479;0.396;0.292;0.015;0.441;64;12;0.00179;0.00239;0;0.00244;0.00138;0.00143;0.00139;0.00175;0.00061;-0.00239;0.00244;-0.00106;5E-05
Самарская область;Samara region;Самарская область;Samarskaya oblastʹ;1.31;1.06;181090.9;640705;257414.5;825171.2;5277;1551;715;1268;491;16;6;161;69;5;653;344;193;90;193;4759;500;20;40;12.5;5;0;29;1;3;3;8;9;16;3;1;0;2;0;3;0;0;6;65;0.7211;0.5;0.3831;0.374;0.467;0.532;0.215;0.007;0.444;65;40;0.00089;0.00718;0.00336;0.00488;0.00622;0.00764;0.00381;0.00625;0.00628;-0.00381;0.00152;0.00134;0.00142
Саратовская область;Saratov region;Саратовская область;Saratovskaya oblastʹ;0.88;0.67;273074.6;721399.9;368369;478338.3;3832;1295;607;1018;349;14;5;160;75;6;676;391;268;131;116;3628;1014;7;77;13.17;7;0;41;8;6;10;17;15;21;1;1;0;0;1;0;1;1;4;156;0.4403;0.48;0.3844;0.498;0.351;0.462;0.255;0.003;0.546;66;77;0.00714;0.01435;0.01121;0.01038;0.01037;0.01002;0.0109;0.01026;0.00721;-0.00314;-0.00083;-1E-05;-0.00034
Сахалинская область;Sakhalin region;Сахалинская область;Sakhalinskaya oblastʹ;0.08;0.15;444059.6;18432;2820;12961.1;568;60;29;38;25;3;0;4;1;0;30;2;11;1;17;596;105;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0139;0.33;0.2978;0.304;0.078;0;0.05;0.005;0.246;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Свердловская область;Sverdlovsk region;Свердловская область;Sverdlovskaya oblastʹ;1.14;1.5;1979308.7;214191.2;596241.7;467610;19262;2015;858;1711;429;41;10;302;150;9;926;478;315;132;285;5765;2637;23;245;10.76;24;0;88;31;15;31;41;64;63;3;0;1;1;2;0;0;1;5;236;1.1789;0.56;0.4929;0.516;0.426;0.614;0.213;0;0.587;68;245;0.02768;0.03589;0.03475;0.02503;0.04423;0.03007;0.03277;0.03311;0.00821;-0.00113;-0.00972;0.0192;-0.01416
Смоленская область;Smolensk region;Смоленская область;Smolenskaya oblastʹ;0.34;0.57;11104.1;2000;23535;9146.2;851;164;105;80;100;5;4;7;4;0;88;47;40;19;29;651;60;7;3;20;2;0;3;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;10;1.0343;0.4;0.3969;0.294;0.266;0.302;0.636;0;0.315;69;3;0;0.00239;0;0;0.00069;0.00048;8E-04;0.00039;0.00239;-0.00239;0;0.00069;-0.00021
Ставропольский край;Stavropol territory;Ставропольский край;Stavropolʹskiy kray;0.53;0.28;0;107179.9;39247;83393.6;1451;1147;675;669;518;14;4;59;29;2;508;275;235;124;102;1987;1160;16;7;165.71;2;0;5;1;0;0;1;1;4;0;0;0;0;0;0;0;0;0;60;0.5221;0.48;0.359;0.377;0.326;0.443;0.321;0.085;0.255;70;7;0.00089;0;0;0.00061;0.00069;0.00191;3E-04;0.00107;-0.00089;0;0.00061;8E-05;0.00122
Тамбовская область;Tambov region;Тамбовская область;Tambovskaya oblastʹ;0.79;0.36;1690;114234.6;78348;0;1027;513;239;317;282;6;4;75;34;3;207;103;69;31;37;1001;164;4;20;8.2;3;0;12;0;7;2;2;6;3;0;0;0;0;0;0;0;0;0;26;0.1352;0.48;0.3413;0.513;0.327;0.303;0.45;0.011;0.46;71;20;0;0.01675;0.00224;0.00122;0.00415;0.00143;0.00633;0.00227;0.01675;-0.0145;-0.00102;0.00293;-0.00271
Тверская область;Tver region;Тверская область;Tverskaya oblastʹ;1.22;1.21;6068.3;10307.6;60051.7;14518.6;4226;423;208;236;230;4;2;54;31;1;168;107;67;39;56;1285;309;7;11;28.09;2;0;5;0;2;0;2;3;4;0;0;0;0;0;0;0;0;0;8;0.6737;0.46;0.4008;0.258;0.429;0.281;0.42;0.007;0.337;72;11;0;0.00478;0;0.00122;0.00207;0.00191;0.00159;0.00173;0.00478;-0.00478;0.00122;0.00085;-0.00016
Томская область;Tomsk region;Томская область;Tomskaya oblastʹ;2.79;1.9;1029935.6;1543127.3;918343;1559418.4;7346;2171;972;2032;306;18;13;344;163;9;983;409;320;107;184;5792;1856;21;325;5.71;13;0;132;33;21;32;64;87;88;2;3;1;2;3;2;1;1;13;314;0.0321;0.65;0.6004;0.958;0.688;0.669;0.996;0.011;1;73;325;0.02946;0.05024;0.03587;0.03907;0.06012;0.042;0.03853;0.04707;0.02077;-0.01436;0.0032;0.02105;-0.01812
Тульская область;Tula region;Тульская область;Tulʹskaya oblastʹ;0.94;1.07;4171.1;71185.9;26526.7;105007;7050;364;106;239;183;2;2;31;9;1;172;121;36;22;80;1561;214;6;2;107;1;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;19;0.3028;0.46;0.3264;0.216;0.394;0.536;0.317;0.018;0.377;74;2;0;0;0;0.00061;0.00069;0;0;0.00043;0;0;0.00061;8E-05;-0.00069
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);Tyumen region;Тюменская область;Tyumenskaya oblastʹ;0.77;1.3;62440.2;9939.9;34090.9;127145.5;5217;713;301;530;350;10;4;57;36;1;311;130;130;43;80;2958;583;5;14;41.64;4;0;11;3;0;3;1;2;5;1;1;0;0;0;0;0;0;1;22;0.3688;0.54;0.4888;0.294;0.447;0.554;0.37;0.008;0.407;75;14;0.00268;0;0.00336;0.00061;0.00138;0.00239;0.00201;0.00146;-0.00268;0.00336;-0.00275;0.00077;0.001
Удмуртская Республика;Udmurtian Republic;Удмуртская Республика;Udmurt·skaya Respublika;0.82;0.32;277579;4025.8;31028.7;0;1228;460;202;357;122;6;4;17;12;1;326;159;118;49;52;1679;249;7;18;13.83;6;0;15;2;4;2;1;5;4;1;1;0;0;0;0;0;0;1;18;0.5156;0.42;0.3285;0.424;0.344;0.514;0.107;0;0.459;76;18;0.00179;0.00957;0.00224;0.00061;0.00346;0.00191;0.00453;0.00199;0.00778;-0.00733;-0.00163;0.00284;-0.00155
Ульяновская область;Ulyanovsk region;Ульяновская область;Ulʹyanovskaya oblastʹ;0.9;4.02;54225.8;31277.4;96815.7;3786.4;4563;564;239;336;290;6;3;37;18;4;229;116;67;29;59;1801;291;5;5;58.2;1;0;3;0;0;1;1;1;2;1;0;0;0;1;0;0;0;1;48;0.8717;0.55;0.5943;0.312;0.477;0;0.253;0;0.384;77;5;0;0;0.00112;0.00061;0.00069;0.00095;0.00037;0.00075;0;0.00112;-0.00051;8E-05;0.00026
Хабаровский край;Khabarovsk territory;Хабаровский край;Khabarovskiy kray;0.79;0.89;662189.1;42571.2;35669.9;110844.2;1358;626;292;342;325;18;3;42;20;1;290;98;118;32;49;2312;743;10;16;46.44;7;0;9;1;1;4;3;2;5;0;0;0;0;0;0;0;0;0;14;-0.0093;0.45;0.3953;0.472;0.367;0;0.2;0.254;0.38;78;16;0.00089;0.00239;0.00448;0.00183;0.00138;0.00239;0.00259;0.00187;0.0015;0.00209;-0.00265;-0.00045;0.001
Ханты-Мансийский автономный округ - Югра (Тюменская область);Khanty-Mansijsk autonomous district - Yugra;Ханты-Мансийский АОк;Khanty-Mansiyskiy AOk;0.22;0.09;366962.3;6368.3;26748.7;0;1820;671;407;523;26;5;2;14;10;1;212;98;93;31;47;1301;95;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0.3688;0.41;0.3489;0.282;0.196;0.346;0.129;0.117;0.281;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Челябинская область;Chelyabinsk region;Челябинская область;Chelyabinskaya oblastʹ;0.77;1.66;154828.6;34848.6;110246.2;2940892.2;15592;1473;639;1032;572;12;9;107;56;4;505;236;198;79;125;4434;1142;15;41;27.85;6;0;27;5;7;4;4;14;7;2;0;0;0;1;0;1;0;2;70;0.8519;0.47;0.4173;0.34;0.34;0.512;0.369;0;0.572;80;41;0.00446;0.01675;0.00448;0.00244;0.00968;0.00334;0.00857;0.00515;0.01228;-0.01226;-0.00204;0.00723;-0.00633
Чеченская Республика*;Chechen Republic;Чеченская республика;Chechenskaya respublika;0.13;0.15;84009.8;44100;10325;600;319;364;206;60;300;4;1;27;20;0;109;51;33;13;12;90;160;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;-0.0403;0.39;0.3218;0.301;0.204;0;0.025;0.247;0.149;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Чувашская Республика - Чувашия;Chuvashi Republic;Чувашская Республика;Chuvashskaya Respublika;0.75;0.75;39415.5;79029.3;25516.6;548416.2;1358;226;114;80;159;4;3;21;11;1;89;44;34;13;45;1385;113;4;3;37.67;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;17;0.918;0.43;0.35;0.262;0.402;0;0.285;0.107;0.387;82;3;0;0.00239;0;0.00061;0.00069;0;8E-04;0.00043;0.00239;-0.00239;0.00061;8E-05;-0.00069
Чукотский автономный округ;Сhukotka autonomous district;Чукотский АОк;Chukot·skiy AOk;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;1;74;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0096;0.19;0;0;0;0;0.268;0;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ямало-Ненецкий автономный округ (Тюменская область);Yamalo-Nenets autonomous district;Ямало-Ненецкий АОк;Yamalo-Nenetskiy AOk;0.7;0.01;0;0;0;1490;198;0;0;0;0;0;0;0;0;0;0;0;0;0;13;397;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3688;0.28;0.3554;0.478;0.287;0.344;0.19;0.258;0.236;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ярославская область;Yaroslavl region;Ярославская область;Yaroslavskaya oblastʹ;1.47;1.36;284422.5;167633.1;71843.7;91481.6;5205;374;163;327;96;11;1;46;31;2;175;98;51;25;103;2449;812;9;21;38.67;7;0;16;5;3;2;3;6;2;1;0;1;0;0;0;0;0;1;61;0.6369;0.48;0.4195;0.359;0.423;0.515;0.162;0;0.649;85;21;0.00446;0.00718;0.00224;0.00183;0.00415;0.00095;0.00463;0.00231;0.00271;-0.00493;-0.00041;0.00232;-0.00319